cluster,lat,lon,canal,accion_sugerida,promedio_transacciones_red,clientes_afectados,departamento,provincia,distrito,perfil_top,oportunidad_clientes_nominas,pct_digital,ingreso_prom,edad_prom,diagnostico,%Participacion_General_BBVA,%Participacion_PN_BBVA,%Participacion_PYME_BBVA,Ranking_General,Ranking_PN,Ranking_PYME
36,-12.05145032756019,-75.20325102711737,agente,nuevo_punto,0.0,7096,JUNIN,HUANCAYO,HUANCAYO,Real,0,1,1,1,"[""Zona con 7.096 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",,,,,,
37,-12.064924995185056,-77.10032603317003,agente,nuevo_punto,0.0,6115,LIMA,LIMA,SAN MIGUEL,Real,0,1,1,1,"[""Zona con 6.115 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.25,0.35,1131,991,602
38,-5.165895171254046,-80.65619609282432,agente,nuevo_punto,0.0,6340,PIURA,PIURA,PIURA,Real,0,1,1,1,"[""Zona con 6.340 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.24,0.25,0.15,1040,951,345
39,-13.488748207545818,-71.98647166902806,agente,nuevo_punto,0.0,7039,CUSCO,CUSCO,CUSCO,Real,0,1,1,1,"[""Zona con 7.039 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.28,0.28,0.18,1300,1227,407
40,-7.83837091685232,-79.15319946967148,agente,nuevo_punto,0.0,6604,LIMA,LAMBAYEQUE,JAYANCA,Real,0,1,1,1,"[""Zona con 6.604 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",,,,,,
41,-12.002043212935682,-77.0682498857247,agente,nuevo_punto,0.0,5418,LIMA,HUAROCHIRI,ANTIOQUIA,Real,0,1,1,1,"[""Zona con 5.418 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",,,,,,
42,-12.334418347682359,-76.82538762649574,agente,nuevo_punto,0.0,6455,LIMA,LIMA,PUNTA HERMOSA,Real,0,1,1,1,"[""Zona con 6.455 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.18,0.19,0.1,672,615,249
43,-12.069416551060009,-77.10490833994794,agente,nuevo_punto,0.0,6126,LIMA,LIMA,SAN MIGUEL,Real,0,1,1,1,"[""Zona con 6.126 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.26,0.25,0.35,1131,991,602
44,-12.078399662809922,-76.9766037501666,agente,nuevo_punto,0.0,6796,LIMA,LIMA,SANTIAGO DE SURCO,Real,22,1,1,1,"[""Zona con 6.796 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 22 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.24,0.25,0.17,1048,936,388
45,-12.069416551060009,-77.16447832806071,agente,nuevo_punto,0.0,6588,CALLAO,CALLAO,LA PUNTA,Real,0,1,1,1,"[""Zona con 6.588 clientes activos y muy alta concentración financiera."", ""Oportunidad estimada de captación: 0 trabajadores no captados."", ""Se recomienda AGENTE como solución de cobertura eficiente para la demanda local.""]",0.16,0.16,0.04,537,468,116
