index,adr_department_name,adr_province_name,adr_district_name,OTROS,OTROS_BBVA,OTROS_BCP,OTROS_IBK,OTROS_NO PARTICIPANTES,OTROS_OTROS,OTROS_SCO,PRODUCTO PN,PRODUCTO PN_BBVA,PRODUCTO PN_BCP,PRODUCTO PN_IBK,PRODUCTO PN_NO PARTICIPANTES,PRODUCTO PN_OTROS,PRODUCTO PN_SCO,PRODUCTO PYME,PRODUCTO PYME_BBVA,PRODUCTO PYME_BCP,PRODUCTO PYME_IBK,PRODUCTO PYME_NO PARTICIPANTES,PRODUCTO PYME_OTROS,PRODUCTO PYME_SCO
1052,ICA,CHINCHA,CHAVÍN,145077,67693,1270039,39956,10543602,984125,804655,,1046624,2769026,835909,2354954,965359,1012174,20444,72573,196478,,4734519,389898,
1053,ICA,CHINCHA,CHINCHA,78871,6481,59355,11602,3514614,162950,56232,,33303,440544,95865,882581,335288,18487,19462,,8,,765383,25946,
1054,ICA,CHINCHA,CHINCHA ALTA,4616749,92626245,110408774,44310941,389426016,315214984,108430776,,111244514,133390216,122048656,162330597,112270415,65970985,414728,13725808,40058377,1468347,110242026,18120803,6809843
1055,ICA,CHINCHA,CHINCHA BAJA,465603,2432864,12146963,4065188,61174700,8876956,17086272,,10163398,15365182,8834259,20884968,12936668,3819910,414,41531,1768881,14208,14770881,2136674,1003354
1056,ICA,CHINCHA,EL CARMEN,284339,1713909,8345049,2256048,48569822,3939145,5270694,,4168418,8516941,5665335,14531663,6728768,3249444,50980,70000,1435853,,13575631,1038278,102872
1057,ICA,CHINCHA,GROCIO PRADO,1160700,6155693,14467410,7341541,103104303,9818847,11983926,1163,14943369,18476026,20145665,35549127,17066261,8664618,77606,947444,4002095,106228,32874485,4714949,1547819
1058,ICA,CHINCHA,PUEBLO NUEVO,3458073,27759146,44187463,18096178,252310430,33774378,34614172,5998,46380419,49115166,48680505,90943469,50737302,25035147,448810,2678785,16290651,1756484,78578837,12445345,3813253
1059,ICA,CHINCHA,SAN JUAN DE YANAC,95602,10666,109466,1281,4326015,316790,36339,,50967,116009,113702,1096097,200344,122090,5401,,101611,,2101829,371970,
1060,ICA,CHINCHA,SAN PEDRO DE HUACARPANA,45233,274499,94800,4511,3729400,452950,766,,245330,267929,293105,794193,105088,107699,3110,31762,10,,1679607,431966,
1061,ICA,CHINCHA,SUNAMPE,1257244,15968541,24550906,5944827,101815622,13159648,22964798,990,26799738,28618360,23299866,40683289,26319267,15145505,204552,2259690,3897761,62715,31334334,5042249,1147407
