cluster,lat,lon,canal,codigo,transacciones,departamento,provincia,distrito,n_puntos,codigos_agrupados,transacciones_agrupadas,diagnostico
1431,-12.0035075,-77.0538765,agente,NEW_AGENTE_01431,1367.5,LIMA,LIMA,SAN MARTIN DE PORRES,2,BV00008130|BV00010230,657.5|710.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,368 ≤ 2,000)."", ""Retirar/absorber códigos: BV00008130, BV00010230."", ""Insertar 1 punto consolidado en el centroide (lat=-12.003507, lon=-77.053877).""]"
1432,-14.0678005,-75.7276405,agente,NEW_AGENTE_01432,1323.0,ICA,ICA,ICA,2,BV00016995|BV00012732,659.0|664.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,323 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016995, BV00012732."", ""Insertar 1 punto consolidado en el centroide (lat=-14.067801, lon=-75.727641).""]"
1433,-6.421186,-76.51801649999999,agente,NEW_AGENTE_01433,1425.0,SAN MARTIN,LAMAS,LAMAS,2,BV00007666|BV00005687,659.0|766.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,425 ≤ 2,000)."", ""Retirar/absorber códigos: BV00007666, BV00005687."", ""Insertar 1 punto consolidado en el centroide (lat=-6.421186, lon=-76.518016).""]"
1434,-12.3974765,-74.865679,agente,NEW_AGENTE_01434,1672.5,HUANCAVELICA,TAYACAJA,PAMPAS,2,BV00015066|BV00017015,659.0|1013.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,672 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015066, BV00017015."", ""Insertar 1 punto consolidado en el centroide (lat=-12.397476, lon=-74.865679).""]"
1435,-8.4747985,-74.80621400000001,agente,NEW_AGENTE_01435,1427.0,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,2,BV00006300|BV00016910,659.5|767.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,427 ≤ 2,000)."", ""Retirar/absorber códigos: BV00006300, BV00016910."", ""Insertar 1 punto consolidado en el centroide (lat=-8.474799, lon=-74.806214).""]"
1436,-12.012698499999999,-77.1006115,agente,NEW_AGENTE_01436,1333.5,CALLAO,CALLAO,CALLAO,2,BV00014101|BV00002261,660.0|673.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,334 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014101, BV00002261."", ""Insertar 1 punto consolidado en el centroide (lat=-12.012698, lon=-77.100611).""]"
1437,-16.425714499999998,-71.534904,agente,NEW_AGENTE_01437,1895.5,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,2,BV00014692|BV00005751,660.5|1235.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,896 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014692, BV00005751."", ""Insertar 1 punto consolidado en el centroide (lat=-16.425714, lon=-71.534904).""]"
1438,-15.836962,-70.0271985,agente,NEW_AGENTE_01438,1328.0,PUNO,PUNO,PUNO,2,BV00011975|BV00015622,661.0|667.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,328 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011975, BV00015622."", ""Insertar 1 punto consolidado en el centroide (lat=-15.836962, lon=-70.027198).""]"
1439,-6.152428499999999,-79.7145085,agente,NEW_AGENTE_01439,1393.5,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,2,BV00006523|BV00011775,663.0|730.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,394 ≤ 2,000)."", ""Retirar/absorber códigos: BV00006523, BV00011775."", ""Insertar 1 punto consolidado en el centroide (lat=-6.152428, lon=-79.714508).""]"
1440,-5.713819,-78.8041575,agente,NEW_AGENTE_01440,1402.5,CAJAMARCA,JAEN,JAEN,2,BV00012590|BV00017557,664.0|738.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,402 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012590, BV00017557."", ""Insertar 1 punto consolidado en el centroide (lat=-5.713819, lon=-78.804158).""]"
1441,-12.0464965,-75.21452149999999,agente,NEW_AGENTE_01441,1347.5,JUNIN,HUANCAYO,EL TAMBO,2,BV00011253|BV00015228,664.5|683.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,348 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011253, BV00015228."", ""Insertar 1 punto consolidado en el centroide (lat=-12.046496, lon=-75.214521).""]"
1442,-11.914995000000001,-77.0757705,agente,NEW_AGENTE_01442,1427.5,LIMA,LIMA,PUENTE PIEDRA,2,BV00004351|BV00010362,664.5|763.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,428 ≤ 2,000)."", ""Retirar/absorber códigos: BV00004351, BV00010362."", ""Insertar 1 punto consolidado en el centroide (lat=-11.914995, lon=-77.075771).""]"
1443,-12.039852499999999,-76.967857,agente,NEW_AGENTE_01443,1451.5,LIMA,LIMA,SANTA ANITA,2,BV00005667|BV00013045,665.0|786.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,452 ≤ 2,000)."", ""Retirar/absorber códigos: BV00005667, BV00013045."", ""Insertar 1 punto consolidado en el centroide (lat=-12.039852, lon=-76.967857).""]"
1444,-11.9376645,-77.060951,agente,NEW_AGENTE_01444,1331.5,LIMA,LIMA,COMAS,2,BV00015069|BV00017603,665.0|666.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,332 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015069, BV00017603."", ""Insertar 1 punto consolidado en el centroide (lat=-11.937665, lon=-77.060951).""]"
1445,-11.9737715,-77.094626,agente,NEW_AGENTE_01445,1431.0,LIMA,LIMA,SAN MARTIN DE PORRES,2,BV00016900|BV00007991,665.5|765.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,431 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016900, BV00007991."", ""Insertar 1 punto consolidado en el centroide (lat=-11.973771, lon=-77.094626).""]"
1446,-11.8907475,-77.04165950000001,agente,NEW_AGENTE_01446,1380.0,LIMA,LIMA,CARABAYLLO,2,BV00006972|BV00007725,666.0|714.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,380 ≤ 2,000)."", ""Retirar/absorber códigos: BV00006972, BV00007725."", ""Insertar 1 punto consolidado en el centroide (lat=-11.890747, lon=-77.041660).""]"
1447,-12.0810105,-76.994946,agente,NEW_AGENTE_01447,1451.0,LIMA,LIMA,SAN BORJA,2,BV00001591|BV00014076,666.5|784.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,451 ≤ 2,000)."", ""Retirar/absorber códigos: BV00001591, BV00014076."", ""Insertar 1 punto consolidado en el centroide (lat=-12.081010, lon=-76.994946).""]"
1448,-8.090847,-79.005583,agente,NEW_AGENTE_01448,1951.5,LA LIBERTAD,TRUJILLO,TRUJILLO,2,BV00010505|BV00003717,667.0|1284.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,952 ≤ 2,000)."", ""Retirar/absorber códigos: BV00010505, BV00003717."", ""Insertar 1 punto consolidado en el centroide (lat=-8.090847, lon=-79.005583).""]"
1449,-12.0453385,-77.090103,agente,NEW_AGENTE_01449,1396.0,CALLAO,CALLAO,CALLAO,2,BV00016698|BV00003516,668.5|727.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,396 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016698, BV00003516."", ""Insertar 1 punto consolidado en el centroide (lat=-12.045338, lon=-77.090103).""]"
1450,-11.875033,-77.01552,agente,NEW_AGENTE_01450,1344.0,LIMA,LIMA,CARABAYLLO,2,BV00016992|BV00010868,668.5|675.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,344 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016992, BV00010868."", ""Insertar 1 punto consolidado en el centroide (lat=-11.875033, lon=-77.015520).""]"
1451,-8.383353499999998,-74.556691,agente,NEW_AGENTE_01451,1495.0,UCAYALI,CORONEL PORTILLO,YARINACOCHA,2,BV00010574|BV00010025,672.5|822.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,495 ≤ 2,000)."", ""Retirar/absorber códigos: BV00010574, BV00010025."", ""Insertar 1 punto consolidado en el centroide (lat=-8.383353, lon=-74.556691).""]"
1452,-12.04185,-77.0336255,agente,NEW_AGENTE_01452,1503.0,LIMA,LIMA,RIMAC,2,BV00015205|BV00007981,673.0|830.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,503 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015205, BV00007981."", ""Insertar 1 punto consolidado en el centroide (lat=-12.041850, lon=-77.033625).""]"
1453,-8.09071,-79.023575,agente,NEW_AGENTE_01453,1448.5,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,2,BV00003719|BV00009006,678.5|770.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,448 ≤ 2,000)."", ""Retirar/absorber códigos: BV00003719, BV00009006."", ""Insertar 1 punto consolidado en el centroide (lat=-8.090710, lon=-79.023575).""]"
1454,-12.077514,-77.1045705,agente,NEW_AGENTE_01454,1373.5,LIMA,LIMA,SAN MIGUEL,2,BV00005721|BV00011901,679.0|694.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,374 ≤ 2,000)."", ""Retirar/absorber códigos: BV00005721, BV00011901."", ""Insertar 1 punto consolidado en el centroide (lat=-12.077514, lon=-77.104570).""]"
1455,-9.9300335,-76.2425995,agente,NEW_AGENTE_01455,1387.0,HUANUCO,HUANUCO,HUANUCO,2,BV00015587|BV00007213,679.0|708.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,387 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015587, BV00007213."", ""Insertar 1 punto consolidado en el centroide (lat=-9.930034, lon=-76.242599).""]"
1456,-11.926368499999999,-77.06077450000001,agente,NEW_AGENTE_01456,1555.5,LIMA,LIMA,COMAS,2,BV00017613|BV00016777,679.5|876.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,556 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017613, BV00016777."", ""Insertar 1 punto consolidado en el centroide (lat=-11.926368, lon=-77.060775).""]"
1457,-11.9560865,-77.05295100000001,agente,NEW_AGENTE_01457,1366.0,LIMA,LIMA,COMAS,2,BV00009763|BV00003785,681.0|685.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,366 ≤ 2,000)."", ""Retirar/absorber códigos: BV00009763, BV00003785."", ""Insertar 1 punto consolidado en el centroide (lat=-11.956086, lon=-77.052951).""]"
1458,-11.890304,-77.0657515,agente,NEW_AGENTE_01458,1492.0,LIMA,LIMA,PUENTE PIEDRA,2,BV00007313|BV00016999,681.5|810.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,492 ≤ 2,000)."", ""Retirar/absorber códigos: BV00007313, BV00016999."", ""Insertar 1 punto consolidado en el centroide (lat=-11.890304, lon=-77.065752).""]"
1459,-12.0664365,-75.2143985,agente,NEW_AGENTE_01459,1376.5,JUNIN,HUANCAYO,EL TAMBO,2,BV00014977|BV00013743,682.0|694.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,376 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014977, BV00013743."", ""Insertar 1 punto consolidado en el centroide (lat=-12.066437, lon=-75.214399).""]"
1460,-8.539054,-78.6786815,agente,NEW_AGENTE_01460,1793.5,LA LIBERTAD,VIRU,CHAO,2,BV00014752|BV00012542,682.0|1111.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,794 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014752, BV00012542."", ""Insertar 1 punto consolidado en el centroide (lat=-8.539054, lon=-78.678681).""]"
1461,-12.062818,-76.95870199999999,agente,NEW_AGENTE_01461,1430.0,LIMA,LIMA,LA MOLINA,2,BV00007382|BV00017343,685.0|745.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,430 ≤ 2,000)."", ""Retirar/absorber códigos: BV00007382, BV00017343."", ""Insertar 1 punto consolidado en el centroide (lat=-12.062818, lon=-76.958702).""]"
1462,-11.937817500000001,-77.0478985,agente,NEW_AGENTE_01462,1415.0,LIMA,LIMA,COMAS,2,BV00001005|BV00001517,685.5|729.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,415 ≤ 2,000)."", ""Retirar/absorber códigos: BV00001005, BV00001517."", ""Insertar 1 punto consolidado en el centroide (lat=-11.937818, lon=-77.047899).""]"
1463,-11.9120125,-77.0345535,agente,NEW_AGENTE_01463,1474.5,LIMA,LIMA,COMAS,2,BV00000645|BV00013569,687.0|787.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,474 ≤ 2,000)."", ""Retirar/absorber códigos: BV00000645, BV00013569."", ""Insertar 1 punto consolidado en el centroide (lat=-11.912012, lon=-77.034554).""]"
1464,-12.081444000000001,-77.030407,agente,NEW_AGENTE_01464,1388.5,LIMA,LIMA,LINCE,2,BV00009592|BV00000883,688.0|700.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,388 ≤ 2,000)."", ""Retirar/absorber códigos: BV00009592, BV00000883."", ""Insertar 1 punto consolidado en el centroide (lat=-12.081444, lon=-77.030407).""]"
1465,-12.0271095,-76.94863,agente,NEW_AGENTE_01465,1420.5,LIMA,LIMA,ATE,2,BV00012792|BV00009355,688.5|732.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,420 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012792, BV00009355."", ""Insertar 1 punto consolidado en el centroide (lat=-12.027109, lon=-76.948630).""]"
1466,-16.3083065,-71.6141885,agente,NEW_AGENTE_01466,1639.5,AREQUIPA,AREQUIPA,YURA,2,BV00005838|BV00016486,689.5|950.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,640 ≤ 2,000)."", ""Retirar/absorber códigos: BV00005838, BV00016486."", ""Insertar 1 punto consolidado en el centroide (lat=-16.308307, lon=-71.614188).""]"
1467,-15.8404695,-70.02685500000001,agente,NEW_AGENTE_01467,1524.0,PUNO,PUNO,PUNO,2,BV00007551|BV00015230,692.0|832.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,524 ≤ 2,000)."", ""Retirar/absorber códigos: BV00007551, BV00015230."", ""Insertar 1 punto consolidado en el centroide (lat=-15.840469, lon=-70.026855).""]"
1468,-12.0678885,-75.2052395,agente,NEW_AGENTE_01468,1410.0,JUNIN,HUANCAYO,HUANCAYO,2,BV00016362|BV00016963,692.5|717.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,410 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016362, BV00016963."", ""Insertar 1 punto consolidado en el centroide (lat=-12.067889, lon=-75.205240).""]"
1469,-6.388636999999999,-76.6348345,agente,NEW_AGENTE_01469,1420.5,SAN MARTIN,LAMAS,TABALOSOS,2,BV00014325|BV00010113,698.0|722.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,420 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014325, BV00010113."", ""Insertar 1 punto consolidado en el centroide (lat=-6.388637, lon=-76.634834).""]"
1470,-14.060978500000001,-75.73422500000001,agente,NEW_AGENTE_01470,1476.5,ICA,ICA,ICA,2,BV00011976|BV00016730,699.0|777.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,476 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011976, BV00016730."", ""Insertar 1 punto consolidado en el centroide (lat=-14.060979, lon=-75.734225).""]"
1471,-16.394627,-71.539739,agente,NEW_AGENTE_01471,1993.5,AREQUIPA,AREQUIPA,YANAHUARA,2,BV00014160|BV00009642,700.5|1293.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,994 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014160, BV00009642."", ""Insertar 1 punto consolidado en el centroide (lat=-16.394627, lon=-71.539739).""]"
1472,-11.946616,-76.9813415,agente,NEW_AGENTE_01472,1437.5,LIMA,LIMA,SAN JUAN DE LURIGANCHO,2,BV00017661|BV00003337,701.0|736.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,438 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017661, BV00003337."", ""Insertar 1 punto consolidado en el centroide (lat=-11.946616, lon=-76.981341).""]"
1473,-11.953973,-77.0583405,agente,NEW_AGENTE_01473,1577.5,LIMA,LIMA,COMAS,2,BV00005117|BV00009594,702.0|875.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,578 ≤ 2,000)."", ""Retirar/absorber códigos: BV00005117, BV00009594."", ""Insertar 1 punto consolidado en el centroide (lat=-11.953973, lon=-77.058340).""]"
1474,-6.4864014999999995,-76.36312699999999,agente,NEW_AGENTE_01474,1439.5,SAN MARTIN,SAN MARTIN,TARAPOTO,2,BV00010148|BV00007088,702.5|737.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,440 ≤ 2,000)."", ""Retirar/absorber códigos: BV00010148, BV00007088."", ""Insertar 1 punto consolidado en el centroide (lat=-6.486401, lon=-76.363127).""]"
1475,-12.018296,-76.8762275,agente,NEW_AGENTE_01475,1455.5,LIMA,LIMA,ATE,2,BV00007553|BV00007638,703.0|752.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,456 ≤ 2,000)."", ""Retirar/absorber códigos: BV00007553, BV00007638."", ""Insertar 1 punto consolidado en el centroide (lat=-12.018296, lon=-76.876227).""]"
1476,-10.748046500000001,-77.752157,agente,NEW_AGENTE_01476,1490.5,LIMA,BARRANCA,BARRANCA,2,BV00006883|BV00011025,703.5|787.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,490 ≤ 2,000)."", ""Retirar/absorber códigos: BV00006883, BV00011025."", ""Insertar 1 punto consolidado en el centroide (lat=-10.748047, lon=-77.752157).""]"
1477,-7.1494475,-78.52168800000001,agente,NEW_AGENTE_01477,1569.5,CAJAMARCA,CAJAMARCA,CAJAMARCA,2,BV00003225|BV00016508,704.0|865.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,570 ≤ 2,000)."", ""Retirar/absorber códigos: BV00003225, BV00016508."", ""Insertar 1 punto consolidado en el centroide (lat=-7.149447, lon=-78.521688).""]"
1478,-12.206388,-76.9442065,agente,NEW_AGENTE_01478,1424.5,LIMA,LIMA,VILLA EL SALVADOR,2,BV00013585|BV00014392,705.5|719.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,424 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013585, BV00014392."", ""Insertar 1 punto consolidado en el centroide (lat=-12.206388, lon=-76.944207).""]"
1479,-11.4213025,-75.691967,agente,NEW_AGENTE_01479,1562.0,JUNIN,TARMA,TARMA,2,BV00008826|BV00012679,705.5|856.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,562 ≤ 2,000)."", ""Retirar/absorber códigos: BV00008826, BV00012679."", ""Insertar 1 punto consolidado en el centroide (lat=-11.421302, lon=-75.691967).""]"
1480,-12.2169265,-76.94888900000001,agente,NEW_AGENTE_01480,1469.5,LIMA,LIMA,VILLA EL SALVADOR,2,BV00003800|BV00008246,707.5|762.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,470 ≤ 2,000)."", ""Retirar/absorber códigos: BV00003800, BV00008246."", ""Insertar 1 punto consolidado en el centroide (lat=-12.216926, lon=-76.948889).""]"
1481,-11.9695915,-77.0760135,agente,NEW_AGENTE_01481,1459.5,LIMA,LIMA,LOS OLIVOS,2,BV00016943|BV00009888,709.0|750.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,460 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016943, BV00009888."", ""Insertar 1 punto consolidado en el centroide (lat=-11.969591, lon=-77.076014).""]"
1482,-11.858448,-77.071012,agente,NEW_AGENTE_01482,1451.0,LIMA,LIMA,PUENTE PIEDRA,2,BV00010010|BV00013433,709.0|742.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,451 ≤ 2,000)."", ""Retirar/absorber códigos: BV00010010, BV00013433."", ""Insertar 1 punto consolidado en el centroide (lat=-11.858448, lon=-77.071012).""]"
1483,-11.993295499999999,-77.008836,agente,NEW_AGENTE_01483,1430.0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,2,BV00006459|BV00006827,709.0|721.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,430 ≤ 2,000)."", ""Retirar/absorber códigos: BV00006459, BV00006827."", ""Insertar 1 punto consolidado en el centroide (lat=-11.993295, lon=-77.008836).""]"
1484,-12.025155999999999,-76.906622,agente,NEW_AGENTE_01484,1636.0,LIMA,LIMA,ATE,2,BV00010545|BV00002090,710.5|925.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,636 ≤ 2,000)."", ""Retirar/absorber códigos: BV00010545, BV00002090."", ""Insertar 1 punto consolidado en el centroide (lat=-12.025156, lon=-76.906622).""]"
1485,-11.992806999999999,-77.0637025,agente,NEW_AGENTE_01485,1422.5,LIMA,LIMA,LOS OLIVOS,2,BV00011860|BV00014546,710.5|712.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,422 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011860, BV00014546."", ""Insertar 1 punto consolidado en el centroide (lat=-11.992807, lon=-77.063703).""]"
1486,-5.6386125,-78.53333950000001,agente,NEW_AGENTE_01486,1698.5,AMAZONAS,BAGUA,BAGUA,2,BV00005598|BV00006258,711.5|987.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,698 ≤ 2,000)."", ""Retirar/absorber códigos: BV00005598, BV00006258."", ""Insertar 1 punto consolidado en el centroide (lat=-5.638612, lon=-78.533340).""]"
1487,-12.005256,-76.997449,agente,NEW_AGENTE_01487,1578.5,LIMA,LIMA,SAN JUAN DE LURIGANCHO,2,BV00017546|BV00011121,712.0|866.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,578 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017546, BV00011121."", ""Insertar 1 punto consolidado en el centroide (lat=-12.005256, lon=-76.997449).""]"
1488,-11.853986500000001,-77.1247085,agente,NEW_AGENTE_01488,1883.0,CALLAO,CALLAO,MI PERU,2,BV00002881|BV00015799,712.5|1170.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,883 ≤ 2,000)."", ""Retirar/absorber códigos: BV00002881, BV00015799."", ""Insertar 1 punto consolidado en el centroide (lat=-11.853987, lon=-77.124708).""]"
1489,-12.055583500000001,-76.9586415,agente,NEW_AGENTE_01489,1482.0,LIMA,LIMA,ATE,2,BV00001319|BV00007602,712.5|769.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,482 ≤ 2,000)."", ""Retirar/absorber códigos: BV00001319, BV00007602."", ""Insertar 1 punto consolidado en el centroide (lat=-12.055584, lon=-76.958641).""]"
1490,-10.1282655,-76.204936,agente,NEW_AGENTE_01490,1964.5,HUANUCO,AMBO,AMBO,2,BV00003291|BV00007253,712.5|1252.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,964 ≤ 2,000)."", ""Retirar/absorber códigos: BV00003291, BV00007253."", ""Insertar 1 punto consolidado en el centroide (lat=-10.128265, lon=-76.204936).""]"
1491,-6.060028000000001,-77.168532,agente,NEW_AGENTE_01491,1546.0,SAN MARTIN,RIOJA,RIOJA,2,BV00009549|BV00014323,712.5|833.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,546 ≤ 2,000)."", ""Retirar/absorber códigos: BV00009549, BV00014323."", ""Insertar 1 punto consolidado en el centroide (lat=-6.060028, lon=-77.168532).""]"
1492,-14.082235,-75.7340505,agente,NEW_AGENTE_01492,1507.5,ICA,ICA,ICA,2,BV00015377|BV00017262,715.5|792.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,508 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015377, BV00017262."", ""Insertar 1 punto consolidado en el centroide (lat=-14.082235, lon=-75.734050).""]"
1493,-6.761810499999999,-79.83622249999999,agente,NEW_AGENTE_01493,1437.5,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,2,BV00011234|BV00015037,717.0|720.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,438 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011234, BV00015037."", ""Insertar 1 punto consolidado en el centroide (lat=-6.761810, lon=-79.836222).""]"
1494,-8.136747,-79.046222,agente,NEW_AGENTE_01494,1484.5,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,2,BV00007095|BV00006650,717.5|767.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,484 ≤ 2,000)."", ""Retirar/absorber códigos: BV00007095, BV00006650."", ""Insertar 1 punto consolidado en el centroide (lat=-8.136747, lon=-79.046222).""]"
1495,-12.086791,-77.0241015,agente,NEW_AGENTE_01495,1522.0,LIMA,LIMA,LA VICTORIA,2,BV00004747|BV00001063,718.5|803.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,522 ≤ 2,000)."", ""Retirar/absorber códigos: BV00004747, BV00001063."", ""Insertar 1 punto consolidado en el centroide (lat=-12.086791, lon=-77.024102).""]"
1496,-13.6575445,-73.3809015,agente,NEW_AGENTE_01496,1458.5,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,2,BV00016739|BV00016353,722.5|736.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,458 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016739, BV00016353."", ""Insertar 1 punto consolidado en el centroide (lat=-13.657545, lon=-73.380901).""]"
1497,-16.381411,-71.5138675,agente,NEW_AGENTE_01497,1517.0,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,2,BV00003404|BV00006313,723.5|793.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,517 ≤ 2,000)."", ""Retirar/absorber códigos: BV00003404, BV00006313."", ""Insertar 1 punto consolidado en el centroide (lat=-16.381411, lon=-71.513868).""]"
1498,-12.019707,-77.0967045,agente,NEW_AGENTE_01498,1499.5,CALLAO,CALLAO,CALLAO,2,BV00002282|BV00005130,724.5|775.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,500 ≤ 2,000)."", ""Retirar/absorber códigos: BV00002282, BV00005130."", ""Insertar 1 punto consolidado en el centroide (lat=-12.019707, lon=-77.096705).""]"
1499,-9.077434,-78.587107,agente,NEW_AGENTE_01499,1619.5,ANCASH,SANTA,CHIMBOTE,2,BV00013061|BV00005775,725.0|894.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,620 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013061, BV00005775."", ""Insertar 1 punto consolidado en el centroide (lat=-9.077434, lon=-78.587107).""]"
