cluster,lat,lon,canal,codigo,transacciones,departamento,provincia,distrito,n_puntos,codigos_agrupados,transacciones_agrupadas,diagnostico
289,-13.712742800000001,-76.2032662,agente,NEW_AGENTE_00289,219.0,ICA,PISCO,PISCO,5,BV00012337|BV00017208|BV00015535|BV00014126|BV00014176,27.5|33.0|38.5|51.5|68.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=219 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012337, BV00017208, BV00015535, BV00014126, BV00014176."", ""Insertar 1 punto consolidado en el centroide (lat=-13.712743, lon=-76.203266).""]"
290,-11.8740546,-77.1297112,agente,NEW_AGENTE_00290,339.0,CALLAO,CALLAO,VENTANILLA,5,BV00005089|BV00006999|BV00005519|BV00014020|BV00012906,28.0|30.0|66.5|92.0|122.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=339 ≤ 2,000)."", ""Retirar/absorber códigos: BV00005089, BV00006999, BV00005519, BV00014020, BV00012906."", ""Insertar 1 punto consolidado en el centroide (lat=-11.874055, lon=-77.129711).""]"
291,-12.842669333333333,-74.568957,agente,NEW_AGENTE_00291,340.5,HUANCAVELICA,ACOBAMBA,ACOBAMBA,3,BV00014277|BV00014378|BV00009717,28.0|29.5|283.0,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=340 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014277, BV00014378, BV00009717."", ""Insertar 1 punto consolidado en el centroide (lat=-12.842669, lon=-74.568957).""]"
292,-14.2710782,-71.2278538,agente,NEW_AGENTE_00292,1469.0,CUSCO,CANCHIS,SICUANI,5,BV00016917|BV00013309|BV00003758|BV00016151|BV00006540,28.0|252.0|389.0|396.0|404.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,469 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016917, BV00013309, BV00003758, BV00016151, BV00006540."", ""Insertar 1 punto consolidado en el centroide (lat=-14.271078, lon=-71.227854).""]"
293,-8.415653500000001,-78.753409,agente,NEW_AGENTE_00293,1111.5,LA LIBERTAD,VIRU,VIRU,2,BV00017582|BV00016044,28.0|1083.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,112 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017582, BV00016044."", ""Insertar 1 punto consolidado en el centroide (lat=-8.415654, lon=-78.753409).""]"
294,-13.540874500000001,-71.98117500000001,agente,NEW_AGENTE_00294,469.0,CUSCO,CUSCO,SANTIAGO,2,BV00017630|BV00011085,28.0|441.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=469 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017630, BV00011085."", ""Insertar 1 punto consolidado en el centroide (lat=-13.540875, lon=-71.981175).""]"
295,-16.406707599999997,-71.51493500000001,agente,NEW_AGENTE_00295,175.0,AREQUIPA,AREQUIPA,MARIANO MELGAR,5,BV00015254|BV00012456|BV00011137|BV00012548|BV00017666,28.5|31.0|32.0|38.0|45.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=175 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015254, BV00012456, BV00011137, BV00012548, BV00017666."", ""Insertar 1 punto consolidado en el centroide (lat=-16.406708, lon=-71.514935).""]"
296,-15.505426,-70.12379725,agente,NEW_AGENTE_00296,1203.0,PUNO,SAN ROMAN,JULIACA,4,BV00017286|BV00012630|BV00005000|BV00017243,28.5|292.0|313.5|569.0,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,203 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017286, BV00012630, BV00005000, BV00017243."", ""Insertar 1 punto consolidado en el centroide (lat=-15.505426, lon=-70.123797).""]"
297,-4.6412485,-80.549171,agente,NEW_AGENTE_00297,186.5,PIURA,SULLANA,QUERECOTILLO,2,BV00013161|BV00000628,29.0|157.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=186 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013161, BV00000628."", ""Insertar 1 punto consolidado en el centroide (lat=-4.641248, lon=-80.549171).""]"
298,-8.0627482,-79.0099242,agente,NEW_AGENTE_00298,901.0,LA LIBERTAD,TRUJILLO,EL PORVENIR,5,BV00016609|BV00015719|BV00013899|BV00012473|BV00012540,29.0|116.0|220.0|231.0|305.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=901 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016609, BV00015719, BV00013899, BV00012473, BV00012540."", ""Insertar 1 punto consolidado en el centroide (lat=-8.062748, lon=-79.009924).""]"
